"Model";"Strategy";"Intercept";"Slope";"AUC";"RMSE";"Brier";"MAE"
"FLR";"CMI";0.035;0.985;0.681;0.239;0.126;0.156
"FLR";"SDI";0.104;0.347;0.616;0.269;0.141;0.181
"FLR";"MDI";0.007;0.957;0.679;0.237;0.125;0.169
"FLR";"BOS";0.002;0.988;0.682;0.236;0.125;0.169
"RF";"CMI";0.055;0.978;0.685;0.242;0.127;0.148
"RF";"SDI";0.083;0.45;0.632;0.258;0.136;0.181
"RF";"MDI";-0.032;1.144;0.701;0.233;0.123;0.171
"RF";"BOS";0.062;0.581;0.666;0.248;0.13;0.172
"RF";"SS";0.083;1.287;0.667;0.259;0.136;0.143
