Label;Method_name_in_sim;Intercept;Slope;AUC;RMSE;Brier
CMI+FLR;Y_pred_mean_log;0.0266614139600479;0.984747719160815;0.634135972145838;0.222852472556279;0.123251208075127
SDI+FLR;Y_pred_sing_log;0.105091065630343;0.296670904397011;0.581207575663461;0.244450001889472;0.133335352469684
MDI+FLR;Y_pred_mult_log;0.00898010069487222;0.94051386308007;0.631310670274137;0.221727543793784;0.122750324768959
CMI+RF;Y_pred_mean_rf;0.064112647669855;0.788654347891518;0.626642522384189;0.227294683970445;0.125256725621402
SDI+RF;Y_pred_sing_rf;0.0925449503354361;0.355350609309728;0.591758628995568;0.24007961007888;0.131225943220327
MDI+RF;Y_pred_mult_rf;-0.00286680113791617;0.951966417831395;0.643115802940317;0.220941007934677;0.12240656138313
BOS+FLR;Y_pred_sub_log;0.00288971176957043;0.981316071645869;0.635230666781581;0.22124467193234;0.122536778455048
BOS+RF;Y_pred_sub_rf;0.0849234941936109;0.410296226019753;0.606912993118389;0.236769255423529;0.129665643759286
