"Model";"Strategy";"Intercept";"Slope";"AUC";"RMSE";"Brier";"MAE"
"FLR";"CMI";0.006;0.05;0.006;0.002;0.002;0.002
"FLR";"SDI";0.003;0.02;0.006;0.002;0.002;0.002
"FLR";"MDI";0.006;0.044;0.006;0.002;0.002;0.002
"FLR";"BOS";0.007;0.047;0.006;0.002;0.002;0.002
"RF";"CMI";0.01;0.058;0.008;0.003;0.002;0.003
"RF";"SDI";0.003;0.02;0.006;0.002;0.002;0.002
"RF";"MDI";0.007;0.041;0.006;0.002;0.002;0.002
"RF";"BOS";0.003;0.018;0.006;0.002;0.002;0.002
"RF";"SS";0.01;0.087;0.01;0.004;0.003;0.002
